"","year","state","state.1","poptotal","evangelical_pop","nonwhite","gini_coef","total_expenditure","total_revenue","gsppcap","incomepcap","unemployment","povrate","earned_income_taxcredit","x_sales_taxes","x_tax_burden","x_top_corporateincometaxrate","hou_chamber","sen_chamber","h_diffs","s_diffs","pctfemaleleg","efna_index","vepvotingrate","overall_fin_reg","union_density","innovatescore_boehmkeskinner","citi6013","anti_environment","anti_welfare","anti_race","mathscore4th","readscore4th","sqli","genderrights_state_eras","solaw","w_environment_solar_taxcredit","drugs_medical_marijuana","labor_minwage_abovefed","labor_right_to_work","i_rps"
"208",1982,"CO","Colorado",3061564,10.9,0.174393862,0.50465608,3635365,3804808,NA,12904,7.7,12.6,NA,3,0.086,5,NA,NA,NA,NA,NA,6.9,0.44,NA,14.10000038,0.01486,45.17604,0.120420463,0.509209166,0.179828448,NA,NA,NA,1,0,0,NA,0,0,"0"
"209",1983,"CO","Colorado",3133630,10.9,0.17623134,0.51024151,4061778,4202960,NA,13538,6.6,12.6,NA,3.5,0.089,5,NA,NA,NA,NA,25,6.9,NA,NA,13.80000019,0.040641,42.48664,0.086042292,0.477348874,0.194161743,NA,NA,NA,1,0,0,NA,0,0,"0"
"210",1984,"CO","Colorado",3169992,10.9,0.17825079,0.51286739,4560331,4877593,NA,14669,5.6,8.9,NA,3.5,0.093,5,NA,NA,NA,NA,25,7,0.57,NA,13.10000038,0.040641,40.36096,0.04600586,0.421291612,0.192556877,NA,NA,NA,1,0,0,NA,0,0,"0"
"211",1985,"CO","Colorado",3208723,13.6,0.180574328,0.5183562,4817165,5300834,NA,15267,5.9,10.2,NA,3,0.094,5,NA,NA,NA,NA,24,7.1,NA,NA,11.89999962,0.028858,39.41663,0.10258162,0.435535749,0.160918226,NA,NA,NA,1,0,0,NA,0,0,"0"
"212",1986,"CO","Colorado",3237450,13.6,0.182567194,0.52675444,4952058,5994542,NA,15713,7.4,13.5,NA,3,0.093,5,NA,NA,NA,NA,24,7,0.46,NA,12.60000038,0.028858,42.59955,0.056700196,0.413084633,0.160174241,NA,NA,NA,1,0,0,NA,0,0,"0"
"213",1987,"CO","Colorado",3260480,13.6,0.185055211,0.54215479,5456448,6707679,25555,16205,7.7,12.5,NA,3,0.095,6,NA,NA,NA,NA,28,7,NA,NA,11.60000038,0.073881,42.35702,0.042447444,0.44748435,0.123114394,NA,NA,NA,1,0,0,NA,0,0,"0"
"214",1988,"CO","Colorado",3262281,13.6,0.187544763,0.55845141,5620005,6527434,26325,17072,6.4,12.5,0,3,0.095,6,NA,NA,NA,NA,28,7,0.59,NA,10.60000038,0.073881,51.12383,0.055475201,0.31084797,0.133280676,NA,NA,NA,1,0,0,NA,0,0,"0"
"215",1989,"CO","Colorado",3275818,13.6,0.189984128,0.57727885,5878180,6966623,26527,18398,5.8,12.1,0,3,0.094,5.5,NA,NA,NA,NA,29,7.1,NA,NA,9.300000191,0.062211,45.97808,0.069411471,0.408879452,0.10052932,NA,NA,NA,1,0,0,NA,0,0,"0"
"216",1990,"CO","Colorado",3294473,13.6,0.191663936,0.57925862,6510158,7614029,26887,19377,4.9,13.7,0,3,0.096,5.4,NA,NA,NA,NA,29,7.1,0.43,NA,10.69999981,0.062211,44.10185,0.048785467,0.440674212,0.154941212,NA,NA,NA,1,0,0,NA,0,0,"0"
"217",1991,"CO","Colorado",3367567,13.6,0.194854513,0.57900506,6992288,7863081,26802,20123,5,10.4,0,3,0.095,5.3,NA,NA,NA,NA,31,7,NA,NA,9.899999619,0.100821,46.3364,0.090671428,0.444826258,0.140606454,NA,NA,NA,1,0,0,NA,0,0,"0"
"218",1992,"CO","Colorado",3459995,13.6,0.196731508,0.58278006,7491923,9077033,27763,21102,5.9,10.8,0,3,0.096,5.2,NA,NA,NA,NA,31,7,0.63,7,10.19999981,0.100821,47.75739,0.111290321,0.420497494,0.144321471,221.023,216.525,7,1,0,0,NA,0,0,"0"
"219",1993,"CO","Colorado",3560884,13.6,0.199211463,0.5676834,8672886,10027745,28629,22152,5.2,9.9,0,3,0.095,5.1,NA,NA,NA,NA,35,7.1,NA,NA,9.899999619,0.086403,42.86285,0.131909207,0.39616873,0.148036488,NA,NA,4,1,0,0,NA,0,0,"0"
"220",1994,"CO","Colorado",3653910,13.6,0.201000005,0.56495935,8902738,10429927,29679,23237,4.2,9,0,3,0.095,5,NA,NA,NA,NA,35,7.2,0.42,7,11,0.086403,41.30082,0.094593339,0.633595472,0.179632007,NA,213.481,4,1,0,0,NA,0,0,"0"
"221",1995,"CO","Colorado",3738061,12.8,0.203399673,0.56787473,9801852,11555971,30528,24575,NA,8.8,0,3,0.092,5,NA,NA,NA,NA,31,7.1,NA,NA,10,0.029013,42.47899,0.102502137,0.630342736,0.213731884,NA,NA,3,1,0,0,NA,0,0,"0"
"222",1996,"CO","Colorado",3812716,12.8,0.206265152,0.58128512,10216917,11866383,31415,25964,4.2,10.6,0,3,0.09,5,0.611,0.151,1.862,1.496,31,7.3,0.55,7,9.899999619,0.029013,45.85009,0.110410929,0.627089999,0.247831761,225.806,NA,2,1,0,0,0,0,0,"0"
"223",1997,"CO","Colorado",3891293,12.8,0.209571317,0.57563549,10861228,12779639,39202,27402,3.3,8.2,0,3,0.089,5,0.54,0.202,1.834,1.663,35,7.4,NA,NA,9.699999809,0.040953,46.28638,0.091304958,0.548010307,0.216615105,NA,NA,1,1,0,0,0,0,0,"0"
"224",1998,"CO","Colorado",3968967,12.8,0.21318242,0.58681095,11277701,13522443,40576,29174,3.8,9.2,0,3,0.088,5,0.608,0.261,1.944,1.651,35,7.7,0.46,15,9.199999809,0.040953,45.13234,0.07219898,0.468930615,0.185398449,NA,220.241,2,1,0,0,0,0,0,"0"
"225",1999,"CO","Colorado",4056133,12.8,0.216634125,0.59641355,13148371,14158140,42545,30919,2.9,8.5,1,3,0.088,4.75,0.525,0.534,1.972,1.938,34,7.7,NA,NA,9.5,0.093019,49.77513,0.078711584,0.417863132,0.167193365,NA,NA,3,1,0,0,0,0,0,"0"
"226",2000,"CO","Colorado",4327788,12.8,0.236236691,0.60547626,13929779,17059603,45101,33986,2.7,9.8,1,3,0.086,4.63,0.525,0.479,2.041,1.944,34,7.9,0.58,15,9.100000381,0.093019,42.85549,0.085224196,0.366795649,0.148988281,NA,NA,4,1,0,0,0,0,0,"0"
"227",2001,"CO","Colorado",4431918,12.8,0.246409521,0.58127838,15685926,19774425,45590,35355,3.7,8.7,1,2.9,0.085,4.63,0.57,-0.113,1.98,2.117,34,8,NA,NA,9.199999809,0.095334,39.81298,0.086722448,0.385390228,0.138728052,NA,NA,3,1,0,0,1,0,0,"0"
"228",2002,"CO","Colorado",4503156,12.8,0.251705766,0.57127219,17324984,12478045,45525,35131,5.7,9.8,0,2.9,0.085,4.63,0.57,-0.459,1.98,2.181,34,7.6,0.46,13,7.900000095,0.095334,48.13155,0.088220701,0.403984808,0.128467822,NA,NA,7,1,0,0,1,0,0,"0"
"229",2003,"CO","Colorado",4548339,12.8,0.25580278,0.56567788,17690925,13805946,45298,35312,6,9.7,0,2.9,0.085,4.63,0.514,-0.017,1.98,2.106,33,8,NA,NA,7.800000191,0.111704,47.47132,0.077678874,0.412896906,0.147879103,235.193,223.661,6,1,0,0,1,0,0,"0"
"230",2004,"CO","Colorado",4600050,12.8,0.259438246,0.57125807,18042055,23031818,45778,36849,5.4,10,0,2.9,0.085,4.63,0.563,0.426,1.991,2.104,34,7.6,0.67,15,8.5,0.111704,54.65549,0.06713704,0.421809004,0.167290384,NA,NA,9,1,0,0,1,0,0,"0"
"231",2005,"CO","Colorado",4662734,14.8,0.263105303,0.58047289,18733519,22453274,46938,38795,5,11.4,0,2.9,0.085,4.63,-0.6,-0.484,2.108,2.033,33,7.6,NA,NA,8.300000191,0.219398,50.41082,0.0671027,0.383592688,0.175297898,239.216,223.656,8,1,0,0,1,0,0,"0"
"232",2006,"CO","Colorado",4751474,14.8,0.266465783,0.58637434,20150921,23477989,47261,41181,4.3,9.7,0,2.9,0.086,4.63,-0.6,-0.59,2.036,2.028,32,7.7,0.47,15,7.699999809,0.219398,49.9627,0.067068368,0.345376372,0.183305411,NA,NA,3,1,0,0,1,0,0,"0"
"233",2007,"CO","Colorado",4842770,14.8,0.286567241,0.58908045,21243982,26892432,47599,42724,3.7,9.8,0,2.9,0.086,4.63,-0.766,-0.705,2.328,2.336,34,7.5,NA,NA,8.699999809,0.10241,53.42242,0.070847809,0.367058453,0.166329306,240.206,223.733,1,1,1,1,1,1,0,"1"
"234",2008,"CO","Colorado",4939456,14.8,0.290048957,0.58357984,22856848,26521512,47659,44164,4.8,11,0,2.9,0.087,4.63,-0.77,-0.705,2.35,2.278,36,7.5,0.71,15,8.100000381,0.10241,54.17156,0.074627258,0.388740533,0.149353201,NA,NA,2,1,1,1,1,1,0,"1"
"235",2009,"CO","Colorado",4972195,14.8,0.292916983,0.59271264,24886401,10336795,46629,41317,7.3,12.3,0,2.9,0.087,4.63,-0.777,-0.759,2.464,2.543,37,7.2,NA,NA,7,0.005814,52.44956,0.107581854,0.417560436,0.164057513,243.132,225.697,2,1,1,1,1,1,0,"1"
"236",2010,"CO","Colorado",5047349,14.8,0.207143292,0.60959822,27660864,27990510,46573,42226,8.7,12.2,0,2.9,0.091,4.63,-0.777,-0.759,2.464,2.543,38,7,0.51,15,6.599999905,0.005814,45.87387,0.140536457,0.44638034,0.178761824,NA,NA,8,1,1,2,1,0,0,"1"
"237",2011,"CO","Colorado",5121108,14.8,0.290625572,0.62072027,28350439,30177159,NA,43568,8.4,13.2,0,2.9,NA,4.63,0.338,-0.705,3.023,2.65,41,7.1,NA,NA,8.199999809,NA,43.03939,0.140326649,0.453138414,0.149610483,244.456,223.434,8,1,1,2,1,1,0,"1"
"238",2012,"CO","Colorado",5187582,14.8,NA,0.63037658,28238168,25687893,NA,45660,7.9,11.9,0,2.9,NA,4.63,0.606,-0.705,3.01,2.65,40,7.3,0.7,15,NA,NA,46.59996,0.140116826,0.459896489,0.120459142,NA,NA,9,1,1,2,1,1,0,"1"
"239",2013,"CO","Colorado",5268367,14.8,NA,0.61436343,28729839,30996357,NA,47295,6.8,10.6,0,2.9,NA,4.63,-1.2,-0.697,3.356,2.885,41,7.3,NA,NA,NA,NA,48.5148,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,0,"1"
"240",2014,"CO","Colorado",5355866,NA,NA,NA,30816260,34363378,NA,50687,5,12.3,0,2.9,NA,4.63,-1.196,-0.518,3.406,2.808,41,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,0,"1"
"241",2015,"CO","Colorado",5456574,NA,NA,NA,32501911,32734001,NA,52219,3.9,9.9,NA,NA,NA,NA,-1.106,0.061,3.746,3.114,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"242",2016,"CO","Colorado",5540545,NA,NA,NA,34596327,31399864,NA,52431,3.3,8.5,NA,NA,NA,NA,-0.934,-0.397,3.75,3.12,42,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"243",2017,"CO","Colorado",5607154,NA,NA,NA,35172286,34830118,NA,55550,2.8,7.7,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"244",2018,"CO","Colorado",5691287,NA,NA,NA,37475530,42592997,NA,58836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"245",2019,"CO","Colorado",5758736,NA,NA,NA,NA,NA,NA,61159,NA,NA,NA,2.9,NA,4.63,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"246",2020,"CO","Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"247",1980,"CT","Connecticut",3107576,2.8,0.098178253,0.5009985,3341267,3472325,NA,12321,5.9,8.3,NA,7,0.096,10,NA,NA,NA,NA,NA,NA,0.64,NA,25.79999924,0.019222,71.03784,0.096739925,0.572467681,0.219990374,NA,NA,NA,1,0,1,NA,1,0,"0"
"248",1981,"CT","Connecticut",3128836,2.8,0.122832216,0.5006054,3740306,3872934,NA,13780,6.2,8.2,NA,7.5,0.095,10,NA,NA,NA,NA,23.5,7,NA,NA,24.10000038,0.060353,65.18259,0.118116915,0.537338696,0.211667254,NA,NA,NA,1,0,1,NA,1,0,"0"
"249",1982,"CT","Connecticut",3139013,2.8,0.126884997,0.49591309,3993741,4303231,NA,14849,6.9,8.1,NA,7.5,0.095,10,NA,NA,NA,NA,NA,7.1,0.48,NA,23.39999962,0.060353,84.5527,0.139493912,0.502209711,0.203344133,NA,NA,NA,1,0,1,NA,1,0,"0"
"250",1983,"CT","Connecticut",3162354,2.8,0.130887732,0.49513826,4427350,4707166,NA,15737,6,8.8,NA,7.5,0.097,10,NA,NA,NA,NA,23.5,7,NA,NA,22.79999924,0.001483,73.02814,0.076560266,0.479017851,0.144445562,NA,NA,NA,1,0,1,NA,1,0,"0"
"251",1984,"CT","Connecticut",3180014,2.8,0.135232076,0.49840361,4868752,5514327,NA,17496,4.6,6.9,NA,7.5,0.1,10,NA,NA,NA,NA,23,7.3,0.64,NA,20.5,0.001483,73.17982,0.061491828,0.407551376,0.255869879,NA,NA,NA,1,0,1,NA,1,0,"0"
"252",1985,"CT","Connecticut",3201131,5.4000001,0.139407054,0.50710833,5428688,6299535,NA,18635,4.9,7.6,NA,7.5,0.1,10,NA,NA,NA,NA,21.9,7.4,NA,NA,21,0.059393,70.42604,0.091526851,0.426969976,0.153333418,NA,NA,NA,1,0,1,NA,1,0,"0"
"253",1986,"CT","Connecticut",3223740,5.4000001,0.143797457,0.52065372,6009104,6965528,NA,19895,3.8,6,NA,7.5,0.098,10,NA,NA,NA,NA,21.9,7.5,0.42,NA,19.39999962,0.059393,79.12184,0.051113021,0.385366545,0.202709499,NA,NA,NA,1,0,1,NA,1,0,"0"
"254",1987,"CT","Connecticut",3247291,5.4000001,0.14808777,0.54010612,6665581,7516809,34555,21573,3.3,6.6,NA,7.5,0.102,10,NA,NA,NA,NA,21.9,7.5,NA,NA,18.70000076,0.01873,77.97347,0.041837219,0.431423752,0.106314173,NA,NA,NA,1,0,1,NA,1,0,"0"
"255",1988,"CT","Connecticut",3271953,5.4000001,0.152979836,0.55805254,7517812,8109863,36384,23557,3,4,0,7.5,0.098,10,NA,NA,NA,NA,21.4,7.6,0.61,NA,19.60000038,0.01873,81.91377,0.04796616,0.442021847,0.134118829,NA,NA,NA,1,0,1,NA,1,0,"0"
"256",1989,"CT","Connecticut",3283403,5.4000001,0.157494366,0.5732289,8972020,9044649,36732,25397,3.7,2.9,0,8,0.098,10,NA,NA,NA,NA,21.9,7.5,NA,NA,18.60000038,0.151189,72.48727,0.067392416,0.41734764,0.245497349,NA,NA,NA,1,0,1,NA,1,0,"0"
"257",1990,"CT","Connecticut",3287116,5.4000001,0.161281407,0.57426608,9885651,9620605,36809,26198,5.1,6,0,8,0.102,10,NA,NA,NA,NA,21.9,7.3,0.48,NA,17.79999924,0.151189,66.98815,0.045429919,0.378427546,0.13342548,NA,NA,NA,1,0,1,NA,1,0,"0"
"258",1991,"CT","Connecticut",3288640,5.4000001,0.16652751,0.57610619,11114721,9816213,35792,26430,6.7,8.6,0,6,0.103,10,NA,NA,NA,NA,23,7,NA,NA,19.10000038,0.053242,61.63812,0.06943132,0.311979104,0.08946327,NA,NA,NA,1,1,1,NA,1,0,"0"
"259",1992,"CT","Connecticut",3274997,5.4000001,0.169894353,0.59326249,11627201,11784062,36305,28287,7.5,9.8,0,6,0.116,10,NA,NA,NA,NA,23,6.7,0.69,12,18,0.053242,66.2041,0.09014985,0.453954143,0.11138049,226.798,221.613,1,1,1,1,NA,1,0,"0"
"260",1993,"CT","Connecticut",3272325,5.4000001,0.173997864,0.59371698,12507289,12744056,35754,29051,6.2,8.5,0,6,0.117,10,NA,NA,NA,NA,25.1,6.7,NA,NA,18.89999962,0.062912,62.47441,0.110868372,0.595929182,0.13329771,NA,NA,1,1,1,1,NA,1,0,"0"
"261",1994,"CT","Connecticut",3268346,5.4000001,0.177016214,0.5872761,12963972,12043674,36489,29891,4.2,10.8,0,6,0.117,10,NA,NA,NA,NA,26.2,6.7,0.49,12,20.20000076,0.062912,55.51233,0.102910042,0.656686754,0.216969154,NA,222.418,2,1,1,1,NA,1,0,"0"
"262",1995,"CT","Connecticut",3265293,2.7,0.18036662,0.59936374,13575807,13717638,38668,31366,NA,9.7,0,6,0.118,10,NA,NA,NA,NA,26.7,6.6,NA,NA,20.29999924,0.103709,60.03699,0.099294133,0.618981767,0.2285902,NA,NA,2,1,1,1,NA,1,0,"0"
"263",1996,"CT","Connecticut",3267030,2.7,0.184165597,0.62139797,13529622,14349487,39534,32835,5.7,11.7,0,6,0.116,10,-0.887,-0.019,1.122,1.491,26.7,6.9,0.6,12,16.60000038,0.103709,58.975,0.095678225,0.581276781,0.240211245,232.027,NA,4,1,1,1,0,1,0,"0"
"264",1997,"CT","Connecticut",3268514,2.7,0.188372284,0.628712,13826021,15147251,49162,34877,5.1,8.6,0,6,0.117,10,-0.915,-0.923,1.145,1.53,28.9,6.9,NA,NA,17,0.07987,67.62057,0.080562025,0.548378202,0.207612711,NA,NA,4,1,1,1,0,1,0,"0"
"265",1998,"CT","Connecticut",3272563,2.7,0.192773297,0.64230609,14516273,16520398,50316,37226,3.4,9.5,0,6,0.114,9.5,-0.917,-0.923,1.143,1.53,28.9,7,0.43,12,17.60000038,0.07987,72.05891,0.065445833,0.515479624,0.175014177,NA,230.005,5,1,1,1,0,1,0,"0"
"266",1999,"CT","Connecticut",3282031,2.7,0.197605416,0.64381176,15213482,16437468,51073,38718,3.2,7.2,0,6,0.11,8.5,-0.93,-0.923,1.151,1.528,29.4,7,NA,NA,18.29999924,0.097492,67.10449,0.090501457,0.428521844,0.170665486,NA,NA,2,1,1,1,0,1,0,"0"
"267",2000,"CT","Connecticut",3411714,2.7,0.211729303,0.65569323,16723201,18007128,54302,41920,2.3,7.7,0,6,0.108,7.5,-0.93,-0.923,1.151,1.528,29.9,7.2,0.62,12,16.39999962,0.097492,59.86683,0.115557089,0.341564063,0.166316795,233.768,NA,2,1,1,1,0,1,0,"0"
"268",2001,"CT","Connecticut",3428208,2.7,0.217383027,0.64584804,18189210,17750445,54370,43561,3.3,7.3,0,6,0.105,7.5,-0.945,-1.017,1.152,1.489,29.9,7.5,NA,NA,15.10000038,0.063486,64.42366,0.100261211,0.376513244,0.174175832,NA,NA,6,1,1,1,0,1,0,"0"
"269",2002,"CT","Connecticut",3448261,2.7,0.222196057,0.62502754,20117270,16993167,53094,43243,4.3,8.3,0,6,0.106,7.5,-0.946,-1.017,1.152,1.489,29.9,7.1,0.42,12,17,0.063486,60.84083,0.084965333,0.411462424,0.182034869,NA,229.381,3,1,1,1,0,1,0,"0"
"270",2003,"CT","Connecticut",3467932,2.7,0.226878598,0.6079784,20721194,18240537,53055,43576,5.5,8.1,0,6,0.109,7.5,-0.934,-1.097,1.162,1.489,29.4,7.5,NA,NA,15.39999962,0.104732,64.07689,0.074648544,0.410627949,0.174985406,240.615,228.341,4,1,1,1,0,1,0,"0"
"271",2004,"CT","Connecticut",3475351,2.7,0.230670795,0.6074791,19528569,18990056,55659,46174,4.9,10,0,6,0.11,7.5,-0.937,-1.097,1.156,1.489,29.4,7.1,0.65,12,15.30000019,0.104732,75.97005,0.064331748,0.409793474,0.167935942,NA,NA,4,1,1,1,0,1,0,"1"
"272",2005,"CT","Connecticut",3478714,4.8000002,0.235190004,0.61225861,19926096,20456647,56190,48134,4.9,9.3,0,6,0.112,7.5,-0.976,-1.097,1.202,1.455,29.4,7.1,NA,NA,16,0.141753,74.96025,0.06137104,0.383970851,0.164452111,242.121,225.753,10,1,1,1,0,1,0,"1"
"273",2006,"CT","Connecticut",3487896,4.8000002,0.240073398,0.62335896,20949488,23003844,58048,52324,4.3,8,0,6,0.112,7.5,-0.981,-1.097,1.203,1.435,NA,7.3,0.47,12,15.60000038,0.141753,78.81031,0.058410332,0.358148227,0.16096828,NA,NA,10,1,1,1,0,1,0,"1"
"274",2007,"CT","Connecticut",3489868,4.8000002,0.25639087,0.62708688,21598428,25840849,59613,55859,4.5,8.9,0,6,0.111,7.5,-1.018,-1.089,1.229,1.434,28.3,7.3,NA,NA,15.69999981,0.09141,83.41682,0.059207119,0.346637332,0.143403923,242.756,227.204,14,1,1,1,0,1,0,"1"
"275",2008,"CT","Connecticut",3501252,4.8000002,0.261877179,0.62435162,23528530,21508524,58874,56904,5.7,8.1,0,6,0.116,7.5,-1.021,-1.082,1.222,1.454,28.3,7.1,0.67,14,17,0.09141,90.44839,0.060003906,0.335126437,0.125839567,NA,NA,16,1,1,2,0,1,0,"1"
"276",2009,"CT","Connecticut",3561807,4.8000002,0.268076986,0.64001012,25683688,20931946,57554,53573,7.9,8.4,0,6,0.12,7.5,NA,NA,NA,NA,31.6,6.9,NA,NA,17.29999924,0.003937,78.04955,0.095227651,0.390035591,0.1459845,244.718,228.972,18,1,1,2,0,1,0,"1"
"277",2010,"CT","Connecticut",3579114,4.8000002,0.260549545,0.67497718,27437324,26840365,59083,54877,9.1,8.3,0,6,0.123,7.5,NA,-1.093,NA,1.394,32.1,6.8,0.46,14,16.70000076,0.003937,68.40326,0.130451396,0.444944745,0.166129433,NA,NA,18,1,1,2,0,1,0,"1"
"278",2011,"CT","Connecticut",3588283,4.8000002,0.289322317,0.67500502,28094106,29190534,NA,63793,8.8,10.1,0,6,NA,7.5,-1.013,-1.061,1.224,1.396,29.9,6.8,NA,NA,16.79999924,NA,68.95002,0.130192161,0.448462365,0.135976903,242.413,227.427,19,1,1,2,0,1,0,"1"
"279",2012,"CT","Connecticut",3590347,4.8000002,NA,0.69515884,28370101,27327938,NA,64902,8.3,10.3,1,6.35,NA,7.5,-1.013,-1.061,1.224,1.396,29.9,6.9,0.61,14,NA,NA,67.81454,0.12993291,0.451979986,0.105824373,NA,NA,33,1,1,2,1,1,0,"1"
"280",2013,"CT","Connecticut",3596080,4.8000002,NA,0.68002397,29304171,31636534,NA,63539,7.8,11.3,1,6.35,NA,7.5,-1.009,-1.034,1.208,1.392,29.4,6.9,NA,NA,NA,NA,91.8518,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,0,"1"
"281",2014,"CT","Connecticut",3596677,NA,NA,NA,29658077,31300691,NA,66469,6.6,8.6,1,6.35,NA,7.5,-1.006,-1.034,1.223,1.392,29.4,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,0,"1"
"282",2015,"CT","Connecticut",3590886,NA,NA,NA,31336819,30307639,NA,68340,5.7,9.1,NA,NA,NA,NA,-0.953,-1.009,1.235,1.355,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"283",2016,"CT","Connecticut",3576452,NA,NA,NA,32202351,28139072,NA,69886,5.1,9.8,NA,NA,NA,NA,-0.973,-1.014,1.226,1.397,27.8,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"284",2017,"CT","Connecticut",3588184,NA,NA,NA,27853109,34379083,NA,71699,4.7,10.9,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"285",2018,"CT","Connecticut",3571520,NA,NA,NA,28070663,34465938,NA,74791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"286",2019,"CT","Connecticut",3565287,NA,NA,NA,NA,NA,NA,77273,NA,NA,NA,6.35,NA,7.5,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"287",2020,"CT","Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"288",1980,"DC","District of Columbia",638333,NA,NA,0.50168604,2110063,1976746,NA,12218,NA,20.9,NA,5,0.094,9,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"289",1981,"DC","District of Columbia",636893,NA,NA,0.53284216,2228854,2234711,NA,13381,NA,18.1,NA,6,0.092,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"290",1982,"DC","District of Columbia",634174,NA,NA,0.52267188,2557845,2602251,NA,14570,NA,19.3,NA,6,0.092,9,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"291",1983,"DC","District of Columbia",632433,NA,NA,0.51871383,2659018,2633796,NA,15379,NA,21.5,NA,6,0.094,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"292",1984,"DC","District of Columbia",633382,NA,NA,0.52125823,2807981,2794268,NA,16986,NA,21.1,NA,6,0.094,9,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"293",1985,"DC","District of Columbia",634549,NA,NA,0.53070128,3133824,3116211,NA,18051,NA,20.4,NA,6,0.092,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"294",1986,"DC","District of Columbia",638269,NA,NA,0.53801483,3349492,3445000,NA,18932,NA,12.8,NA,6,0.09,10,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"295",1987,"DC","District of Columbia",636930,NA,NA,0.55157858,3665541,3684316,74025,20046,NA,14.9,NA,6,0.09,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"296",1988,"DC","District of Columbia",630432,NA,NA,0.57174838,4037636,3959387,78051,22157,NA,15.2,0,6,0.086,10,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"297",1989,"DC","District of Columbia",624168,NA,NA,0.60420644,4146592,4120270,80341,23843,NA,18,0,6,0.086,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
"298",1990,"DC","District of Columbia",606900,NA,NA,0.58514887,4512647,4323410,84541,26015,NA,21.1,0,6,0.085,10,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,"0"
